num_features_rm,run_num,feature,importance,rank
0,0,pop_density,0.045533977,1
0,0,jobs_density,0.018808549,2
0,0,btwn_centrality,0.007761897,3
0,0,residential,0.006639561,4
0,0,natptan_density,0.00572708,5
0,0,community_bldg,0.005441159,6
0,0,deg_centrality,0.005113306,7
0,0,storage_and_warehousing,0.004994022,8
0,0,inner,0.004979494,9
0,0,offices,0.004731946,10
0,0,instit_communal_accom,0.004597046,11
0,0,industry,0.00425909,12
0,0,retail,0.004137626,13
0,0,caz,0.004131317,14
0,0,leisure_recreational_bldg,0.001925308,15
0,1,pop_density,0.035698615,1
0,1,jobs_density,0.018554491,2
0,1,residential,0.005424652,3
0,1,community_bldg,0.005135655,4
0,1,deg_centrality,0.004197722,5
0,1,retail,0.003897188,6
0,1,inner,0.003371716,7
0,1,industry,0.003332575,8
0,1,btwn_centrality,0.003235267,9
0,1,offices,0.003220939,10
0,1,storage_and_warehousing,0.003090032,11
0,1,instit_communal_accom,0.002787379,12
0,1,natptan_density,0.001556524,13
0,1,caz,0.000875785,14
0,1,leisure_recreational_bldg,-0.00161546,15
0,2,pop_density,0.039704924,1
0,2,jobs_density,0.015084103,2
0,2,industry,0.010743308,3
0,2,offices,0.010192776,4
0,2,residential,0.009791333,5
0,2,inner,0.009707602,6
0,2,btwn_centrality,0.009461329,7
0,2,retail,0.009078481,8
0,2,community_bldg,0.007657018,9
0,2,storage_and_warehousing,0.007345489,10
0,2,instit_communal_accom,0.006650235,11
0,2,caz,0.006367828,12
0,2,leisure_recreational_bldg,0.006066568,13
0,2,deg_centrality,0.005290654,14
0,2,natptan_density,0.005261157,15
0,3,pop_density,0.034489403,1
0,3,jobs_density,0.016487508,2
0,3,residential,0.014371757,3
0,3,retail,0.01130157,4
0,3,btwn_centrality,0.00663708,5
0,3,industry,0.006589381,6
0,3,storage_and_warehousing,0.006472424,7
0,3,instit_communal_accom,0.006107587,8
0,3,inner,0.005691982,9
0,3,offices,0.005263499,10
0,3,leisure_recreational_bldg,0.00491373,11
0,3,natptan_density,0.004780979,12
0,3,deg_centrality,0.004509045,13
0,3,community_bldg,0.003915913,14
0,3,caz,0.003649358,15
0,4,pop_density,0.028998181,1
0,4,jobs_density,0.025399531,2
0,4,residential,0.008838727,3
0,4,btwn_centrality,0.008293131,4
0,4,inner,0.007786914,5
0,4,retail,0.007274942,6
0,4,community_bldg,0.006804771,7
0,4,natptan_density,0.00656254,8
0,4,storage_and_warehousing,0.006538361,9
0,4,deg_centrality,0.005880297,10
0,4,instit_communal_accom,0.005740397,11
0,4,offices,0.005513534,12
0,4,industry,0.00505828,13
0,4,caz,0.004397766,14
0,4,leisure_recreational_bldg,0.000779893,15
0,5,pop_density,0.031478711,1
0,5,jobs_density,0.0221956,2
0,5,residential,0.011801504,3
0,5,btwn_centrality,0.00908164,4
0,5,retail,0.008501861,5
0,5,community_bldg,0.006849921,6
0,5,natptan_density,0.00567888,7
0,5,industry,0.005337074,8
0,5,deg_centrality,0.00507956,9
0,5,storage_and_warehousing,0.004672711,10
